sample_id,user_hash,timestamp,method,true_latitude,true_longitude,estimated_latitude,estimated_longitude,error_radius_m,signal_strength,num_base_stations,urban_density,weather_condition,time_of_day,day_of_week,actual_error_m
19,c98ffe8e,2025-06-15T05:11:02.419653,triangulation,-6.1756934548357405,106.81806013062669,-6.1737252229333,106.81442686024641,435.1136861045284,-71,4,low,rainy,5,6,457.41366199300955
20,85975100,2025-06-14T07:48:02.419658,triangulation,-5.92211764001196,106.88951284863398,-5.917820096856831,106.88563258867353,588.5654788922458,-61,3,high,cloudy,7,5,642.290319420711
21,1684ff63,2025-07-01T15:19:02.419663,triangulation,-6.212082106298845,106.81693346835738,-6.206892541431565,106.82634349439036,1343.462687157174,-84,7,medium,rainy,15,1,1189.5477345122733
22,e769ea64,2025-06-20T18:10:02.419668,cell_id,-5.9330586356957715,106.75022495835648,-5.9552730802000164,106.76416279467067,4350.56018243699,-40,4,medium,clear,18,4,2911.654479061344
23,9ce2213a,2025-06-18T15:36:02.419673,triangulation,-5.98930518052399,106.83938609305139,-5.988644511591841,106.83845315230717,1478.2037563585784,-48,4,low,cloudy,15,2,126.65422993832631
24,8d6fcf70,2025-06-25T23:04:02.419677,triangulation,-6.225217210655228,106.73477226416631,-6.235155920143346,106.73109011661036,1163.8860663522228,-84,5,low,cloudy,23,2,1177.7032493055592
25,0f2bba44,2025-06-14T03:30:02.419687,cell_id,-6.1661258979048,106.92226145633522,-6.167370383677339,106.93068667960392,2057.4925245745667,-51,5,medium,clear,3,5,941.6444580474213
26,4449f8fb,2025-07-12T00:23:02.419693,gps,-6.398217585045846,106.71613426488831,-6.398130862556952,106.7161766832962,9.875784543970298,-59,6,medium,rainy,0,5,10.721962923344359
27,1b37181a,2025-06-15T00:54:02.419699,gps,-6.155195259426038,106.93944870900421,-6.155201910504218,106.93949095576313,5.011266074196269,-43,1,medium,rainy,0,6,4.728735451148626
28,c0474b77,2025-06-29T15:49:02.419704,gps,-6.195931183311018,106.77089139148399,-6.195852114216597,106.77081460319931,10.958999360563528,-34,5,medium,cloudy,15,6,12.221166161274787
29,b8c0e095,2025-06-23T18:04:02.419709,triangulation,-5.928779847996176,106.96549061909012,-5.930901527439618,106.9643891899937,667.3202478972538,-48,5,high,cloudy,18,0,265.51433967045034
30,aa51daac,2025-07-04T10:42:02.419713,gps,-6.085236291174054,106.73755169939622,-6.085238677137213,106.7375734303652,5.071039173228679,-78,5,medium,cloudy,10,4,2.417360857429866
31,ab22f68c,2025-06-22T14:10:02.419724,gps,-5.973585264357479,106.72044732409056,-5.973696045286136,106.72035322761292,12.569288215924157,-47,2,medium,cloudy,14,6,16.12543602926685
32,ca131c45,2025-07-12T21:21:02.419730,wifi,-6.287677899235017,106.69252231621056,-6.288040884412119,106.69257548751325,48.69281521629238,-37,3,medium,cloudy,21,5,40.78770459803417
33,57234cfb,2025-07-04T14:50:02.419735,wifi,-5.940121104213394,106.8863733934303,-5.9401128378754375,106.88626095506771,69.1006016728291,-86,6,medium,rainy,14,4,12.469368623383806
34,d019d721,2025-06-15T13:38:02.419741,wifi,-6.396783237186018,106.69476784710233,-6.396589720218372,106.69475330947404,43.016504188281814,-41,8,low,cloudy,13,6,21.577986809547188
35,d0f9043b,2025-06-28T18:02:02.419754,cell_id,-6.246152480369497,106.95681734344997,-6.2569846198636885,106.95564815040508,1533.9863712271208,-68,4,high,rainy,18,5,1211.392297750381
36,249a14fb,2025-07-03T14:55:02.419761,gps,-6.167636397579289,106.92081323426186,-6.1675964408192625,106.92084050107592,5.73343030458809,-33,8,high,cloudy,14,3,5.3690456064065515
37,0cb466ed,2025-06-18T03:12:02.419766,cell_id,-6.321415609981068,106.72187312265582,-6.306679090676438,106.72475751790067,4138.215901093793,-58,3,medium,rainy,3,2,1669.3469899962886
38,75678f90,2025-07-05T15:48:02.419777,triangulation,-6.129264490904215,106.87813963784828,-6.126925028908583,106.88420702316792,832.3099985644667,-41,4,high,cloudy,15,5,719.4812502462343
39,1d42d809,2025-06-29T00:59:02.419783,wifi,-6.275547617294388,106.86818969561998,-6.275812656886928,106.86788467275169,84.01117276527728,-79,6,medium,cloudy,0,6,44.77901215671837
40,c13f2e29,2025-06-22T03:17:02.419787,gps,-6.28931522620266,106.76610300040713,-6.289360557204846,106.76615283839725,13.870553446262363,-30,2,medium,clear,3,6,7.466568749624849
41,656378ad,2025-06-26T03:00:02.419792,wifi,-5.947795779978064,106.91093482734944,-5.947714549912961,106.91092383400992,37.006993828688536,-34,6,high,clear,3,3,9.113833119427282
42,c9c8d4a3,2025-06-19T12:35:02.419797,wifi,-6.288110475484561,106.98809299190303,-6.288063941174606,106.98769013571518,62.23361511531844,-61,1,medium,clear,12,3,44.825712261143146
43,c1ff76ea,2025-06-28T06:59:02.419803,triangulation,-5.958155003075002,106.9576581672132,-5.959287873662433,106.95821510491976,139.82972215920233,-52,7,high,cloudy,6,5,140.22172270468425
44,de35737d,2025-06-22T19:28:02.419808,gps,-5.952490326792558,106.75803890923308,-5.952505543037876,106.7580602071572,6.438250381590892,-31,8,medium,cloudy,19,6,2.900157750203051
45,918710aa,2025-07-02T11:58:02.419818,cell_id,-6.0812975155124285,106.79748875319922,-6.0504964152557426,106.83737384167713,4999.237006193537,-71,4,low,cloudy,11,2,5583.894287824781
46,24a019b0,2025-07-09T22:41:02.419824,wifi,-5.9168149122370535,106.69873195395381,-5.916544448640978,106.69864543444397,90.49202501642992,-53,7,low,rainy,22,2,31.5599020328647
47,a86c5e12,2025-06-16T15:48:02.419829,wifi,-6.093919862770229,106.9733616421827,-6.093865650296747,106.97345291094601,12.742223340960393,-85,1,high,rainy,15,0,11.754678783265826
48,f1b91c1f,2025-06-21T07:58:02.419834,gps,-6.181895442195238,106.81920422367449,-6.181849435326602,106.81925726160982,7.292534942598023,-49,4,high,cloudy,7,5,7.781289305007727
49,728a9375,2025-06-24T01:15:02.419839,wifi,-6.0159909953179005,106.99763044611106,-6.0160546756001105,106.99785809202068,41.943806527465426,-66,6,medium,clear,1,1,26.15057800291735
50,affa9a0e,2025-07-02T05:32:02.419844,cell_id,-6.101925461518526,106.9316560300817,-6.127890743655353,106.9259956282713,3666.932199640408,-67,1,low,rainy,5,2,2954.2557682037273
51,9624b6e6,2025-06-22T11:44:02.419848,cell_id,-6.011999882660975,106.96720879781098,-6.0108095031204325,106.96723803778566,1835.414955864633,-37,1,low,rainy,11,6,132.40365406263138
52,2b5c42b6,2025-06-14T05:33:02.419853,wifi,-6.014096956281691,106.61388240285315,-6.014136384115726,106.61360552071616,35.726727434078136,-57,8,medium,cloudy,5,5,30.9307226228447
53,90477a06,2025-06-21T09:08:02.419859,triangulation,-6.198134624617408,106.90367294870136,-6.200019708777436,106.90335301145967,475.9817331176362,-54,8,medium,clear,9,5,212.57458926189574
54,4f9dba78,2025-07-01T23:24:02.419865,triangulation,-5.920536446690665,106.66391192882693,-5.9253367393939245,106.67465273764722,1575.184980275031,-34,7,low,cloudy,23,1,1302.3548374799439
55,dcf67b8c,2025-06-18T19:41:02.419874,cell_id,-5.976052837232972,106.88445587769863,-5.987260306718936,106.88601652393321,2101.255479318974,-80,4,medium,clear,19,2,1258.1082583669368
56,aae1e248,2025-06-20T10:20:02.419880,wifi,-6.256407593477154,106.67023319389858,-6.256085614517005,106.67002830184461,55.051169203405834,-76,5,high,cloudy,10,4,42.36404968362123
57,873df3bd,2025-06-22T11:09:02.419891,triangulation,-6.008260939371035,106.61059206779723,-6.010079634835904,106.61592167871348,918.9023817111545,-56,2,medium,rainy,11,6,623.0995388471563
58,5a642f7d,2025-06-21T07:36:02.419896,wifi,-6.173400731271649,106.94794483852118,-6.173545860605072,106.94784644871575,19.69714180826197,-88,8,high,clear,7,5,19.461057974417088
59,f04e6876,2025-06-17T02:28:02.419901,cell_id,-5.9807883229818,106.67011754211407,-5.950448180641585,106.68584984647978,3669.1529595333855,-49,3,low,cloudy,2,1,3795.896001681267
60,15bce090,2025-06-29T14:49:02.419905,triangulation,-6.029400097048344,106.7934958118614,-6.028782860279523,106.79279246719925,173.55632686772083,-70,8,low,cloudy,14,6,103.72868500226633
61,8e9300d8,2025-07-02T17:44:02.419911,cell_id,-6.133431633269557,106.8402708040338,-6.138918942201823,106.84788085886468,1237.3884239680149,-33,7,low,rainy,17,2,1039.3114939596549
62,9e146e7e,2025-06-25T16:36:02.419915,gps,-6.326559646377423,106.8440675137052,-6.326508176230848,106.84410165633574,5.938639533984601,-57,2,medium,rainy,16,2,6.855183058008569
63,a7042535,2025-07-05T01:23:02.419920,cell_id,-5.991761210768361,106.93632436692948,-5.9636739307094935,106.93004608629296,4904.6535033687005,-52,8,low,clear,1,5,3199.409855227779
64,837b4edf,2025-07-11T16:57:02.419925,cell_id,-6.06192468490576,106.79117586672504,-6.065931943696845,106.80157455476964,4149.508731078904,-63,5,low,cloudy,16,4,1233.131884612892
65,f992746b,2025-06-25T07:01:02.419935,wifi,-6.280980865734689,106.7322931568365,-6.280418974024583,106.73167462047499,90.25171206888491,-57,8,medium,rainy,7,2,92.61480279595912
66,fcca7cad,2025-06-28T04:15:02.419941,triangulation,-6.0887272326357955,106.72739496703429,-6.09495081240589,106.73063993266352,691.7175251302721,-62,7,low,rainy,4,5,779.5086415087804
67,5c2a21c3,2025-06-23T06:52:02.419946,gps,-6.241210766430366,106.7240811659889,-6.241285047746128,106.72397597728353,14.682987472567353,-63,6,low,rainy,6,0,14.26228488481683
68,481dfbb6,2025-06-20T18:24:02.419951,gps,-5.980198215867132,106.7298089283102,-5.980215483396658,106.72972813024528,13.240537667400691,-47,7,high,cloudy,18,4,9.139406689624426
69,5c4e9af7,2025-07-05T14:17:02.419961,wifi,-6.108312751971961,106.69299980441578,-6.108168556369378,106.69286207009418,32.473255326687806,-33,3,high,clear,14,5,22.113067411716017
70,dd338ad7,2025-06-24T19:35:02.419966,gps,-6.059373595589494,106.82142709734858,-6.0593291227130415,106.82138029349213,10.582993311968805,-51,5,low,cloudy,19,1,7.158076724407784
71,0d81f34c,2025-06-15T07:41:02.419972,triangulation,-6.224954227692748,106.95955146692971,-6.225121602472949,106.96184114471863,333.625366763731,-87,5,medium,cloudy,7,6,253.78269572094985
72,803014c1,2025-06-28T16:50:02.419977,wifi,-6.005676005397354,106.89006765686965,-6.005654290616138,106.89001808455981,41.03056256845626,-47,8,medium,clear,16,5,5.9901408666144045
73,0ec36092,2025-06-26T15:15:02.419982,cell_id,-6.015123223837564,106.79726039978907,-6.041337448452155,106.80561794124696,3479.8092851687884,-78,3,high,clear,15,3,3057.888219791
74,ab3db595,2025-06-23T17:33:02.419987,wifi,-5.988306232845163,106.80428962078541,-5.988491180234545,106.80402504767797,45.32831465754986,-74,6,high,rainy,17,0,35.763059144143995
75,2ce05f5c,2025-07-10T03:55:02.419997,cell_id,-6.297591563318537,106.90072475170524,-6.296570185202375,106.89877785471747,235.35211297252926,-64,2,low,rainy,3,3,243.3116915805832
76,26665af1,2025-07-01T18:33:02.420002,wifi,-6.203214533977537,106.7468689910709,-6.20385884927633,106.7465470063906,78.25221163735027,-37,4,high,cloudy,18,1,79.99899066321566
77,4a629fbe,2025-06-16T05:39:02.420008,triangulation,-6.025566671543513,106.61365816497552,-6.023285560944332,106.61427107470885,376.23992138831903,-90,2,high,clear,5,0,262.54688153210225
78,d7a42751,2025-07-10T13:18:02.420018,wifi,-6.340846560809833,106.97322657039356,-6.340583115276521,106.97374811934313,58.89717796818306,-32,1,high,rainy,13,3,64.65572175163025
79,65b21472,2025-07-13T20:13:02.420025,cell_id,-5.955907433739581,106.79436986081048,-5.921059161508712,106.78195246886449,4089.823802106403,-67,8,high,clear,20,6,4111.120525705026
80,c821c0b1,2025-06-26T20:30:02.420030,cell_id,-5.985027907014831,106.77252617531595,-5.987716219553313,106.77071862199381,448.30251171846544,-81,4,high,clear,20,3,359.60405054528957
81,8916e4c4,2025-06-22T10:20:02.420035,cell_id,-6.1082361054291905,106.80645896606268,-6.106632753194009,106.82279558205167,3728.0901596324757,-63,3,high,rainy,10,6,1815.0158123589836
82,c0f06f0a,2025-07-03T19:31:02.420045,gps,-6.217071170844211,106.81037044778373,-6.217041810749583,106.81038509529972,3.545390517042883,-32,6,high,rainy,19,3,3.6441559443048086
83,cde993d6,2025-06-19T11:45:02.420050,triangulation,-6.358555234369658,106.62451566980502,-6.3492291774971905,106.63374937721017,1631.6733982150122,-57,7,high,rainy,11,3,1454.880285805459
84,d1217d33,2025-07-04T12:11:02.420056,gps,-5.9237283961735505,106.97399835218289,-5.923722616124649,106.97401402544764,4.091270428490915,-79,7,high,rainy,12,4,1.848793223554485
85,2069c638,2025-06-24T08:50:02.420065,wifi,-6.196715505068908,106.6606917329868,-6.196553138391849,106.66134443963213,73.41691234865144,-67,5,low,rainy,8,1,74.3781166705343
86,bac7ecaa,2025-06-24T21:14:02.420071,gps,-6.140870866151806,106.91100429101026,-6.140846622790981,106.91101966339309,3.167515631604485,-30,7,medium,rainy,21,1,3.1867514288046617
87,7d8cac73,2025-07-10T12:27:02.420076,triangulation,-6.374219663788204,106.61884295710406,-6.3734527628278785,106.61748567446647,778.9510895931123,-67,6,low,clear,12,3,172.5367326104577
88,e46aea5d,2025-07-02T11:45:02.420081,triangulation,-6.272066856294984,106.85884114763607,-6.272508557677341,106.85924364187906,69.8307796331361,-78,6,high,clear,11,2,66.26770042149369
89,47418fca,2025-06-14T15:57:02.420086,cell_id,-5.935193358222912,106.67705812307368,-5.94595520648827,106.6868655923993,2382.842992541612,-70,3,low,clear,15,5,1615.0982538986739
90,ac3487d0,2025-06-19T18:12:02.420091,cell_id,-6.076653206157165,106.89508546845188,-6.069702183220465,106.88845600721046,888.5120673254717,-90,4,high,rainy,18,3,1065.2365544428137
91,9e38b100,2025-07-11T00:01:02.420096,gps,-6.237315602065945,106.8458774492244,-6.237376165209766,106.84588466728347,13.398326722199558,-62,1,high,rainy,0,4,6.781413623612455
92,63aa8ccf,2025-07-08T01:47:02.420101,cell_id,-6.247819489002232,106.8810356372988,-6.258120725773117,106.8656035280777,1854.843933051222,-36,6,medium,cloudy,1,1,2054.6711792871197
93,2a998ded,2025-07-10T07:41:02.420105,cell_id,-5.956475265665428,106.85115038633639,-5.941294477697528,106.83956996316432,1798.1427103014607,-61,2,high,rainy,7,3,2118.903932112483
94,568061d2,2025-07-13T21:35:02.420111,cell_id,-6.050759553641656,106.83401701897213,-6.035996036442626,106.82751145022273,1812.3792635669024,-44,5,medium,cloudy,21,6,1792.3254803722414
95,326f4215,2025-07-05T09:47:02.420122,cell_id,-6.283817040615541,106.86885530849179,-6.265533857062292,106.88806852471245,3867.527330903314,-67,6,high,cloudy,9,5,2939.8661386418407
96,3b03c1c4,2025-07-04T06:11:02.420128,wifi,-5.963959572178107,106.66351266428907,-5.964093913519054,106.66352063378973,37.87480325531507,-31,6,high,rainy,6,4,14.964054160679936
97,fb0a2513,2025-07-05T09:35:02.420133,triangulation,-6.235358483865182,106.9809419747298,-6.228257663993836,106.97662216509,1910.6744551189397,-55,8,high,cloudy,9,5,922.733741334459
98,7ad34a04,2025-06-25T09:17:02.420137,wifi,-6.214900729762878,106.95097716825103,-6.214613209227848,106.95145287422908,83.26066643971203,-77,3,medium,rainy,9,2,61.541366136781996
99,05a5a29d,2025-06-22T08:18:02.420146,cell_id,-6.194414954968181,106.88821944216205,-6.187976958751599,106.90637396242259,2174.8950082458637,-69,5,high,rainy,8,6,2130.771649472058
100,98506649,2025-07-10T05:17:02.420152,gps,-6.154792702643156,106.88571091482325,-6.154733869101064,106.88581635603487,12.812697686335287,-39,4,low,rainy,5,3,13.367200828355074
101,f33d562b,2025-07-07T15:43:02.420163,cell_id,-6.065217313821785,106.75802346715686,-6.027598882396423,106.72384035462775,4832.979572106975,-86,8,low,clear,15,0,5637.7767580324335
102,985afe5a,2025-06-17T23:30:02.420168,wifi,-5.937721388050826,106.92724857215707,-5.937801073934449,106.92795812968805,95.4553862751708,-90,2,medium,cloudy,23,1,78.97453400278727
103,5ebfcbcb,2025-07-07T20:07:02.420173,triangulation,-6.289833906383205,106.91230564516124,-6.288576784144608,106.9108216712186,520.748180184971,-67,1,low,rainy,20,0,215.50333042144808
104,03c64c5b,2025-07-03T11:10:02.420179,cell_id,-6.086636207699214,106.88640894081264,-6.095485124352231,106.89248691944289,4353.830571138858,-50,7,low,clear,11,3,1191.5469974989528
105,3df824db,2025-06-22T19:33:02.420189,cell_id,-5.95262122868824,106.87780720998806,-5.93191352306937,106.89375278259945,3899.0206208316968,-65,2,low,rainy,19,6,2900.3449561579323
106,f6e978f2,2025-06-13T16:59:02.420195,cell_id,-6.126185426136611,106.85332236362026,-6.102754956144297,106.85449049577986,3121.7294751427307,-75,1,low,rainy,16,4,2608.548551798043
107,e4ca3113,2025-07-02T09:11:02.420200,cell_id,-5.98085549679867,106.6835161244202,-5.971301934062177,106.67561562633453,1537.4170353504269,-64,1,low,clear,9,2,1375.4585368664118
108,e46dd319,2025-07-11T10:39:02.420204,cell_id,-5.915542060407128,106.96392144633803,-5.910654203463296,106.968276671314,1305.2774933945054,-34,5,low,cloudy,10,4,726.2469235831394
109,d30b9c9d,2025-07-06T07:47:02.420209,wifi,-6.355765620439195,106.67338783828365,-6.355716526822447,106.67364455977884,32.96279619893143,-60,4,medium,cloudy,7,6,28.89109705005045
110,f870e5eb,2025-07-05T21:28:02.420214,gps,-6.215535055960504,106.8008549475122,-6.21554528676365,106.80082594865542,7.038325950260067,-47,5,medium,rainy,21,5,3.4014480004726737
111,9665d584,2025-07-13T20:34:02.420219,gps,-6.220612854825778,106.6762698528908,-6.220585152674051,106.67630543445567,11.963008343332223,-32,5,high,clear,20,6,4.995848426029755
112,0eb3d110,2025-07-10T14:37:02.420224,wifi,-5.964139631204693,106.7998970252365,-5.964253131463702,106.79999871466072,30.346508692179977,-72,2,high,cloudy,14,3,16.904336212848474
113,5cb89b5a,2025-07-05T23:25:02.420229,cell_id,-6.122568802031305,106.7429391578923,-6.142585164733906,106.78464036357427,4811.898252010857,-76,1,medium,clear,23,5,5119.556243333291
114,4f008ca6,2025-06-19T09:51:02.420234,triangulation,-6.354708356141979,106.7234130232286,-6.345178877239424,106.73221330363482,1980.4890409615393,-45,7,medium,clear,9,3,1438.2820141620373
115,8aac4d50,2025-06-14T06:47:02.420252,gps,-6.138715118533129,106.97211008478797,-6.138698150915547,106.97219981221684,10.465595321437895,-44,7,low,rainy,6,5,10.097850070909256
116,12773ff4,2025-07-12T18:41:02.420258,triangulation,-6.0089334466240185,106.76126921083677,-6.015772788519721,106.77297060710126,1890.754394244943,-45,3,high,cloudy,18,5,1500.9135662196134
117,94c015e8,2025-07-09T22:13:02.420263,gps,-6.332917691426206,106.68784272813011,-6.33292768220645,106.68784439374623,4.12110086862779,-77,5,medium,rainy,22,2,1.126071475396376
118,25f0bd53,2025-07-12T00:52:02.420268,wifi,-6.064609116198504,106.8546972413463,-6.064624234284139,106.85471847657278,60.027782472195895,-71,7,high,clear,0,5,2.887768976685873
119,e6d7f5ad,2025-07-01T21:36:02.420274,triangulation,-6.39417174686088,106.7148758230064,-6.393819573016295,106.71337218242978,341.37845021120876,-64,7,high,rainy,21,1,170.70942034508568
120,509a6834,2025-06-29T14:33:02.420282,cell_id,-6.059006313143495,106.60428831346505,-6.069836200881008,106.60728074039659,3384.8449011915427,-85,5,high,cloudy,14,6,1248.8588437323422
121,62aec0a3,2025-07-09T09:57:02.420289,cell_id,-6.018219236725922,106.70293987334402,-5.9978076310482695,106.72891783925343,4211.625477293983,-41,4,low,clear,9,2,3661.159646718764
122,24822637,2025-07-02T19:40:02.420294,wifi,-5.991008348097407,106.9854482424928,-5.991117231461134,106.9852817858232,31.243281136870202,-88,1,high,rainy,19,2,22.03275393851089
123,f5070128,2025-07-03T06:01:02.420299,cell_id,-6.087146233299192,106.70772889717777,-6.097519489348616,106.68552381389414,3397.6119373885867,-49,7,high,cloudy,6,3,2712.60103025291
124,7e7630b5,2025-07-02T17:12:02.420304,triangulation,-5.978950007025896,106.9751505073608,-5.9796541016123586,106.97449090379658,1526.8832725429047,-40,8,high,clear,17,2,107.0077103817458
125,e2b302a9,2025-06-13T18:52:02.420314,gps,-5.921476944524216,106.85113892479372,-5.921463091471842,106.85111608368311,4.95464189287862,-55,8,medium,rainy,18,4,2.958852346837326
126,07240b23,2025-07-07T20:53:02.420320,gps,-6.2967191683249,106.73941676007809,-6.296668828627263,106.7393447578721,12.693626636584227,-46,5,low,clear,20,0,9.729422954762612
127,689c5f9f,2025-06-25T13:21:02.420325,wifi,-6.350925910848929,106.79693830882503,-6.350981225834927,106.79749366033002,63.39415145803517,-86,6,medium,rainy,13,2,61.68073416723123
128,2abc2846,2025-06-18T15:32:02.420330,triangulation,-6.353132124973249,106.84192279141641,-6.3522451067880805,106.85606300629824,1584.1525289503074,-80,7,low,clear,15,2,1565.7751387285555
129,12408c9c,2025-06-22T18:01:02.420335,wifi,-6.382618249177455,106.95603824602682,-6.38287487265614,106.95626797784807,49.41071421763525,-81,5,medium,rainy,18,6,38.19348555124105
130,a7d1604b,2025-07-04T01:24:02.420340,gps,-5.995334416029888,106.75349046929895,-5.995346013260654,106.75354437939201,8.45404238299838,-57,3,low,cloudy,1,4,6.099615134436412
131,8dc469ae,2025-07-03T03:40:02.420345,cell_id,-6.254121037620158,106.96864501691512,-6.245014094484004,106.96916346900097,2904.107063374403,-38,1,high,cloudy,3,3,1014.2660978436433
132,d0732364,2025-06-16T15:44:02.420350,cell_id,-6.233016798262571,106.83685548962445,-6.217861667613524,106.8404203310275,2944.3071959502686,-47,7,low,clear,15,0,1730.6326358909835
133,031fe9a9,2025-06-25T18:09:02.420363,gps,-6.205295876971383,106.80810585518938,-6.2052689953793845,106.80812717663035,3.6792184711893046,-57,4,high,clear,18,2,3.8065588309546214
134,93ba3eca,2025-06-21T19:05:02.420369,cell_id,-6.138481134784573,106.90955879260792,-6.120740772080049,106.90880093700662,4655.240908478855,-89,5,medium,rainy,19,5,1974.416975882109
135,b40cbd62,2025-06-19T01:02:02.420379,wifi,-6.0970897868243625,106.87111315646601,-6.097194067392923,106.87077152087403,44.17033687753411,-83,8,low,rainy,1,3,39.51295629283849
136,6855d4f4,2025-06-14T05:05:02.420384,cell_id,-6.259379004414949,106.63071388290885,-6.260516252454385,106.62549344220372,754.5437453946463,-65,2,low,clear,5,5,590.7193913830871
137,9065530a,2025-07-03T09:33:02.420389,wifi,-6.274416792988889,106.82600008849582,-6.2745319096861145,106.82571152579607,38.75832222646671,-67,5,high,cloudy,9,3,34.36726966919726
138,f2895a55,2025-07-11T03:06:02.420394,wifi,-6.316279085779007,106.9221980980538,-6.316255159273967,106.92294340407692,94.47813230230042,-75,1,high,cloudy,3,4,82.41413663375249
139,873cce2c,2025-07-10T23:02:02.420398,wifi,-6.397651099723664,106.64373126304542,-6.397604975746549,106.64409439537135,91.78747585225716,-33,3,medium,clear,23,3,40.45344944509497
140,6c42df3e,2025-06-16T20:23:02.420403,cell_id,-6.381341436998874,106.61659415043253,-6.3817327141292415,106.61287835382338,4182.862518272374,-82,8,high,clear,20,0,412.91616282114785
141,61d7267f,2025-07-03T15:21:02.420408,wifi,-6.150127262290663,106.99336902370453,-6.150270501080943,106.99324912328547,26.78456709855562,-81,4,high,clear,15,3,20.721810270866364
142,65e09aee,2025-06-17T17:00:02.420418,cell_id,-6.355146144523584,106.92576491694477,-6.3340884570294875,106.92601562554361,4990.896826562926,-55,4,low,rainy,17,1,2341.6719359525478
143,3d6ba6dc,2025-07-06T02:36:02.420423,cell_id,-6.368154217731531,106.97179992723167,-6.364322082546718,106.96926948698417,502.59374279588724,-65,2,medium,rainy,2,6,509.6763623432584
144,6b761987,2025-06-26T22:16:02.420428,triangulation,-5.98155543670345,106.8980090107134,-5.970250687216167,106.90030923320646,1408.3318058486618,-66,5,high,cloudy,22,3,1282.5120620769217
145,c41f7743,2025-07-09T17:30:02.420438,wifi,-6.092871660382717,106.77328575430275,-6.093026865488321,106.77356251062902,45.47738173964895,-50,5,high,rainy,17,2,35.13122284310256
